trial_num,cue,cued_image,first_image,second_image
1,F,face_center.png,face_center.png,house_center.png
2,F,face_center.png,face_center.png,house_center.png
3,H,house_center.png,house_center.png,face_center.png
4,F,face_center.png,face_center.png,house_center.png
5,H,house_center.png,face_center.png,house_center.png
6,F,face_center.png,house_center.png,face_center.png
7,H,house_center.png,house_center.png,face_center.png
8,H,house_center.png,face_center.png,house_center.png
9,F,face_center.png,house_center.png,face_center.png
10,F,face_center.png,house_center.png,face_center.png
11,H,house_center.png,face_center.png,house_center.png
12,F,face_center.png,house_center.png,face_center.png
13,H,house_center.png,house_center.png,face_center.png
14,F,face_center.png,face_center.png,house_center.png
15,F,face_center.png,house_center.png,face_center.png
16,H,house_center.png,house_center.png,face_center.png
17,H,house_center.png,face_center.png,house_center.png
18,F,face_center.png,face_center.png,house_center.png
19,F,face_center.png,house_center.png,face_center.png
20,H,house_center.png,house_center.png,face_center.png
21,H,house_center.png,face_center.png,house_center.png
22,F,face_center.png,face_center.png,house_center.png
23,H,house_center.png,house_center.png,face_center.png
24,F,face_center.png,face_center.png,house_center.png
25,H,house_center.png,face_center.png,house_center.png
26,H,house_center.png,house_center.png,face_center.png
27,F,face_center.png,face_center.png,house_center.png
28,H,house_center.png,face_center.png,house_center.png
29,H,house_center.png,house_center.png,face_center.png
30,F,face_center.png,house_center.png,face_center.png
31,F,face_center.png,face_center.png,house_center.png
32,H,house_center.png,house_center.png,face_center.png
33,H,house_center.png,house_center.png,face_center.png
34,F,face_center.png,face_center.png,house_center.png
35,H,house_center.png,house_center.png,face_center.png
36,F,face_center.png,face_center.png,house_center.png
37,H,house_center.png,house_center.png,face_center.png
38,H,house_center.png,house_center.png,face_center.png
39,F,face_center.png,face_center.png,house_center.png
40,F,face_center.png,house_center.png,face_center.png
41,H,house_center.png,house_center.png,face_center.png
42,F,face_center.png,face_center.png,house_center.png
43,H,house_center.png,house_center.png,face_center.png
44,H,house_center.png,face_center.png,house_center.png
45,F,face_center.png,face_center.png,house_center.png
46,F,face_center.png,house_center.png,face_center.png
47,H,house_center.png,face_center.png,house_center.png
48,F,face_center.png,house_center.png,face_center.png
49,H,house_center.png,house_center.png,face_center.png
50,F,face_center.png,face_center.png,house_center.png
51,F,face_center.png,face_center.png,house_center.png
52,H,house_center.png,house_center.png,face_center.png
53,F,face_center.png,face_center.png,house_center.png
54,F,face_center.png,face_center.png,house_center.png
55,H,house_center.png,house_center.png,face_center.png
56,H,house_center.png,house_center.png,face_center.png
57,F,face_center.png,face_center.png,house_center.png
58,H,house_center.png,face_center.png,house_center.png
59,F,face_center.png,house_center.png,face_center.png
60,H,house_center.png,face_center.png,house_center.png
