trial_num,cue,cued_image,first_image,second_image
1,H,house_center.png,house_center.png,face_center.png
2,F,face_center.png,face_center.png,house_center.png
3,F,face_center.png,face_center.png,house_center.png
4,H,house_center.png,house_center.png,face_center.png
5,H,house_center.png,house_center.png,face_center.png
6,F,face_center.png,face_center.png,house_center.png
7,F,face_center.png,face_center.png,house_center.png
8,H,house_center.png,house_center.png,face_center.png
9,F,face_center.png,face_center.png,house_center.png
10,H,house_center.png,face_center.png,house_center.png
11,F,face_center.png,house_center.png,face_center.png
12,H,house_center.png,house_center.png,face_center.png
13,F,face_center.png,face_center.png,house_center.png
14,H,house_center.png,house_center.png,face_center.png
15,F,face_center.png,face_center.png,house_center.png
16,F,face_center.png,house_center.png,face_center.png
17,H,house_center.png,face_center.png,house_center.png
18,F,face_center.png,house_center.png,face_center.png
19,H,house_center.png,face_center.png,house_center.png
20,H,house_center.png,house_center.png,face_center.png
21,F,face_center.png,face_center.png,house_center.png
22,H,house_center.png,face_center.png,house_center.png
23,H,house_center.png,house_center.png,face_center.png
24,F,face_center.png,face_center.png,house_center.png
25,F,face_center.png,house_center.png,face_center.png
26,H,house_center.png,house_center.png,face_center.png
27,H,house_center.png,face_center.png,house_center.png
28,F,face_center.png,house_center.png,face_center.png
29,H,house_center.png,face_center.png,house_center.png
30,H,house_center.png,face_center.png,house_center.png
31,F,face_center.png,house_center.png,face_center.png
32,H,house_center.png,house_center.png,face_center.png
33,F,face_center.png,face_center.png,house_center.png
34,F,face_center.png,house_center.png,face_center.png
35,H,house_center.png,house_center.png,face_center.png
36,F,face_center.png,face_center.png,house_center.png
37,F,face_center.png,house_center.png,face_center.png
38,H,house_center.png,house_center.png,face_center.png
39,F,face_center.png,face_center.png,house_center.png
40,H,house_center.png,face_center.png,house_center.png
