trial_num,cue,cued_image,cued_side,face_id,face_side,face_image,house_id,house_side,house_image,first_image,second_image
1,F,face4_left.png,left,4,left,face4_left.png,2,right,house2_right.png,house2_right.png,face4_left.png
2,H,house3_right.png,right,1,left,face1_left.png,3,right,house3_right.png,face1_left.png,house3_right.png
3,F,face4_right.png,right,4,right,face4_right.png,1,left,house1_left.png,house1_left.png,face4_right.png
4,H,house4_right.png,right,2,left,face2_left.png,4,right,house4_right.png,house4_right.png,face2_left.png
5,F,face3_right.png,right,3,right,face3_right.png,3,left,house3_left.png,face3_right.png,house3_left.png
6,H,house4_left.png,left,2,right,face2_right.png,4,left,house4_left.png,house4_left.png,face2_right.png
7,H,house3_left.png,left,4,right,face4_right.png,3,left,house3_left.png,face4_right.png,house3_left.png
8,F,face3_left.png,left,3,left,face3_left.png,2,right,house2_right.png,face3_left.png,house2_right.png
9,F,face1_right.png,right,1,right,face1_right.png,2,left,house2_left.png,house2_left.png,face1_right.png
10,H,house1_left.png,left,2,right,face2_right.png,1,left,house1_left.png,face2_right.png,house1_left.png
11,H,house3_right.png,right,3,left,face3_left.png,3,right,house3_right.png,face3_left.png,house3_right.png
12,F,face1_left.png,left,1,left,face1_left.png,4,right,house4_right.png,house4_right.png,face1_left.png
13,H,house1_right.png,right,4,left,face4_left.png,1,right,house1_right.png,face4_left.png,house1_right.png
14,H,house3_right.png,right,3,left,face3_left.png,3,right,house3_right.png,house3_right.png,face3_left.png
15,F,face2_right.png,right,2,right,face2_right.png,4,left,house4_left.png,face2_right.png,house4_left.png
16,F,face3_left.png,left,3,left,face3_left.png,1,right,house1_right.png,house1_right.png,face3_left.png
17,H,house2_left.png,left,1,right,face1_right.png,2,left,house2_left.png,face1_right.png,house2_left.png
18,H,house4_left.png,left,2,right,face2_right.png,4,left,house4_left.png,house4_left.png,face2_right.png
19,F,face3_right.png,right,3,right,face3_right.png,1,left,house1_left.png,face3_right.png,house1_left.png
20,F,face2_right.png,right,2,right,face2_right.png,2,left,house2_left.png,house2_left.png,face2_right.png
21,H,house3_left.png,left,4,right,face4_right.png,3,left,house3_left.png,face4_right.png,house3_left.png
22,F,face1_right.png,right,1,right,face1_right.png,4,left,house4_left.png,house4_left.png,face1_right.png
23,F,face2_left.png,left,2,left,face2_left.png,4,right,house4_right.png,face2_left.png,house4_right.png
24,H,house2_right.png,right,4,left,face4_left.png,2,right,house2_right.png,house2_right.png,face4_left.png
25,F,face3_right.png,right,3,right,face3_right.png,2,left,house2_left.png,face3_right.png,house2_left.png
26,H,house1_left.png,left,2,right,face2_right.png,1,left,house1_left.png,house1_left.png,face2_right.png
27,F,face1_left.png,left,1,left,face1_left.png,2,right,house2_right.png,house2_right.png,face1_left.png
28,F,face4_left.png,left,4,left,face4_left.png,4,right,house4_right.png,face4_left.png,house4_right.png
29,H,house1_right.png,right,2,left,face2_left.png,1,right,house1_right.png,face2_left.png,house1_right.png
30,F,face4_left.png,left,4,left,face4_left.png,3,right,house3_right.png,house3_right.png,face4_left.png
31,H,house4_left.png,left,3,right,face3_right.png,4,left,house4_left.png,face3_right.png,house4_left.png
32,F,face1_left.png,left,1,left,face1_left.png,3,right,house3_right.png,house3_right.png,face1_left.png
33,H,house4_right.png,right,2,left,face2_left.png,4,right,house4_right.png,face2_left.png,house4_right.png
34,H,house1_left.png,left,4,right,face4_right.png,1,left,house1_left.png,house1_left.png,face4_right.png
35,F,face1_right.png,right,1,right,face1_right.png,3,left,house3_left.png,face1_right.png,house3_left.png
36,F,face3_left.png,left,3,left,face3_left.png,4,right,house4_right.png,house4_right.png,face3_left.png
37,H,house2_left.png,left,4,right,face4_right.png,2,left,house2_left.png,house2_left.png,face4_right.png
38,F,face2_left.png,left,2,left,face2_left.png,1,right,house1_right.png,face2_left.png,house1_right.png
39,H,house3_right.png,right,1,left,face1_left.png,3,right,house3_right.png,face1_left.png,house3_right.png
40,F,face4_right.png,right,4,right,face4_right.png,4,left,house4_left.png,house4_left.png,face4_right.png
41,H,house2_left.png,left,3,right,face3_right.png,2,left,house2_left.png,face3_right.png,house2_left.png
42,H,house3_left.png,left,4,right,face4_right.png,3,left,house3_left.png,face4_right.png,house3_left.png
43,F,face1_right.png,right,1,right,face1_right.png,1,left,house1_left.png,house1_left.png,face1_right.png
44,H,house2_left.png,left,3,right,face3_right.png,2,left,house2_left.png,house2_left.png,face3_right.png
45,F,face1_left.png,left,1,left,face1_left.png,2,right,house2_right.png,face1_left.png,house2_right.png
46,F,face3_left.png,left,3,left,face3_left.png,4,right,house4_right.png,house4_right.png,face3_left.png
47,H,house1_right.png,right,2,left,face2_left.png,1,right,house1_right.png,face2_left.png,house1_right.png
48,F,face3_left.png,left,3,left,face3_left.png,3,right,house3_right.png,house3_right.png,face3_left.png
49,H,house3_left.png,left,2,right,face2_right.png,3,left,house3_left.png,house3_left.png,face2_right.png
50,F,face3_right.png,right,3,right,face3_right.png,4,left,house4_left.png,face3_right.png,house4_left.png
51,H,house1_right.png,right,4,left,face4_left.png,1,right,house1_right.png,house1_right.png,face4_left.png
52,H,house3_right.png,right,2,left,face2_left.png,3,right,house3_right.png,face2_left.png,house3_right.png
53,F,face1_right.png,right,1,right,face1_right.png,3,left,house3_left.png,house3_left.png,face1_right.png
54,H,house3_right.png,right,3,left,face3_left.png,3,right,house3_right.png,face3_left.png,house3_right.png
55,H,house1_right.png,right,1,left,face1_left.png,1,right,house1_right.png,face1_left.png,house1_right.png
56,F,face1_right.png,right,1,right,face1_right.png,1,left,house1_left.png,house1_left.png,face1_right.png
57,F,face2_left.png,left,2,left,face2_left.png,2,right,house2_right.png,face2_left.png,house2_right.png
58,H,house4_right.png,right,4,left,face4_left.png,4,right,house4_right.png,house4_right.png,face4_left.png
59,F,face2_right.png,right,2,right,face2_right.png,1,left,house1_left.png,house1_left.png,face2_right.png
60,H,house2_left.png,left,4,right,face4_right.png,2,left,house2_left.png,face4_right.png,house2_left.png
