trial_num,cue,cued_image,first_image,second_image
1,F,face_right.png,face_right.png,house_right.png
2,F,face_right.png,face_right.png,house_right.png
3,H,house_right.png,house_right.png,face_right.png
4,F,face_right.png,face_right.png,house_right.png
5,H,house_right.png,face_right.png,house_right.png
6,F,face_right.png,house_right.png,face_right.png
7,H,house_right.png,house_right.png,face_right.png
8,H,house_right.png,face_right.png,house_right.png
9,F,face_right.png,house_right.png,face_right.png
10,F,face_right.png,house_right.png,face_right.png
11,H,house_right.png,face_right.png,house_right.png
12,F,face_right.png,house_right.png,face_right.png
13,H,house_right.png,house_right.png,face_right.png
14,F,face_right.png,face_right.png,house_right.png
15,F,face_right.png,house_right.png,face_right.png
16,H,house_right.png,house_right.png,face_right.png
17,H,house_right.png,face_right.png,house_right.png
18,F,face_right.png,face_right.png,house_right.png
19,F,face_right.png,house_right.png,face_right.png
20,H,house_right.png,house_right.png,face_right.png
21,H,house_right.png,face_right.png,house_right.png
22,F,face_right.png,face_right.png,house_right.png
23,H,house_right.png,house_right.png,face_right.png
24,F,face_right.png,face_right.png,house_right.png
25,H,house_right.png,face_right.png,house_right.png
26,H,house_right.png,house_right.png,face_right.png
27,F,face_right.png,face_right.png,house_right.png
28,H,house_right.png,face_right.png,house_right.png
29,H,house_right.png,house_right.png,face_right.png
30,F,face_right.png,house_right.png,face_right.png
31,F,face_right.png,face_right.png,house_right.png
32,H,house_right.png,house_right.png,face_right.png
33,H,house_right.png,house_right.png,face_right.png
34,F,face_right.png,face_right.png,house_right.png
35,H,house_right.png,house_right.png,face_right.png
36,F,face_right.png,face_right.png,house_right.png
37,H,house_right.png,house_right.png,face_right.png
38,H,house_right.png,house_right.png,face_right.png
39,F,face_right.png,face_right.png,house_right.png
40,F,face_right.png,house_right.png,face_right.png
41,H,house_right.png,house_right.png,face_right.png
42,F,face_right.png,face_right.png,house_right.png
43,H,house_right.png,house_right.png,face_right.png
44,H,house_right.png,face_right.png,house_right.png
45,F,face_right.png,face_right.png,house_right.png
46,F,face_right.png,house_right.png,face_right.png
47,H,house_right.png,face_right.png,house_right.png
48,F,face_right.png,house_right.png,face_right.png
49,H,house_right.png,house_right.png,face_right.png
50,F,face_right.png,face_right.png,house_right.png
51,F,face_right.png,face_right.png,house_right.png
52,H,house_right.png,house_right.png,face_right.png
53,F,face_right.png,face_right.png,house_right.png
54,F,face_right.png,face_right.png,house_right.png
55,H,house_right.png,house_right.png,face_right.png
56,H,house_right.png,house_right.png,face_right.png
57,F,face_right.png,face_right.png,house_right.png
58,H,house_right.png,face_right.png,house_right.png
59,F,face_right.png,house_right.png,face_right.png
60,H,house_right.png,face_right.png,house_right.png
