trial_num,cue,cued_image,first_image,second_image
1,H,house_right.png,house_right.png,face_right.png
2,F,face_right.png,face_right.png,house_right.png
3,F,face_right.png,face_right.png,house_right.png
4,H,house_right.png,house_right.png,face_right.png
5,H,house_right.png,face_right.png,house_right.png
6,F,face_right.png,house_right.png,face_right.png
7,F,face_right.png,face_right.png,house_right.png
8,H,house_right.png,face_right.png,house_right.png
9,H,house_right.png,house_right.png,face_right.png
10,F,face_right.png,house_right.png,face_right.png
