trial_num,cue,cued_image,first_image,second_image
1,↓,down.png,up.png,down.png
2,↓,down.png,up.png,down.png
3,↑,up.png,down.png,up.png
4,↓,down.png,up.png,down.png
5,↑,up.png,up.png,down.png
6,↓,down.png,down.png,up.png
7,↑,up.png,down.png,up.png
8,↑,up.png,up.png,down.png
9,↓,down.png,down.png,up.png
10,↓,down.png,down.png,up.png
11,↑,up.png,up.png,down.png
12,↓,down.png,down.png,up.png
13,↑,up.png,down.png,up.png
14,↓,down.png,up.png,down.png
15,↓,down.png,down.png,up.png
16,↑,up.png,down.png,up.png
17,↑,up.png,up.png,down.png
18,↓,down.png,up.png,down.png
19,↓,down.png,down.png,up.png
20,↑,up.png,down.png,up.png
21,↑,up.png,up.png,down.png
22,↓,down.png,up.png,down.png
23,↑,up.png,down.png,up.png
24,↓,down.png,up.png,down.png
25,↑,up.png,up.png,down.png
26,↑,up.png,down.png,up.png
27,↓,down.png,up.png,down.png
28,↑,up.png,up.png,down.png
29,↑,up.png,down.png,up.png
30,↓,down.png,down.png,up.png
31,↓,down.png,up.png,down.png
32,↑,up.png,down.png,up.png
33,↑,up.png,down.png,up.png
34,↓,down.png,up.png,down.png
35,↑,up.png,down.png,up.png
36,↓,down.png,up.png,down.png
37,↑,up.png,down.png,up.png
38,↑,up.png,down.png,up.png
39,↓,down.png,up.png,down.png
40,↓,down.png,down.png,up.png
41,↑,up.png,down.png,up.png
42,↓,down.png,up.png,down.png
43,↑,up.png,down.png,up.png
44,↑,up.png,up.png,down.png
45,↓,down.png,up.png,down.png
46,↓,down.png,down.png,up.png
47,↑,up.png,up.png,down.png
48,↓,down.png,down.png,up.png
49,↑,up.png,down.png,up.png
50,↓,down.png,up.png,down.png
51,↓,down.png,up.png,down.png
52,↑,up.png,down.png,up.png
53,↓,down.png,up.png,down.png
54,↓,down.png,up.png,down.png
55,↑,up.png,down.png,up.png
56,↑,up.png,down.png,up.png
57,↓,down.png,up.png,down.png
58,↑,up.png,up.png,down.png
59,↓,down.png,down.png,up.png
60,↑,up.png,up.png,down.png
